"id_hogar";"año";"mes";"consumo_kwh";"tipo_vivienda";"tipo_energia";"factura_mensual";"provincia";"comunidad_autonoma";"tamaño_vivienda_m2";"num_habitantes";"aislamiento_vivienda";"uso_energia_renovable";"precio_energia_eur_kwh";"tipo_equipos_electronicos";"estacion";"modo_facturacion";"consumo_promedio_historico";"vivienda_alquiler_propiedad";"años_vivienda_ocupada";"temperatura_media_mensual";"id_provincia";"id_comunidad";"id_tipo_vivienda";"id_tipo_energia"
"Hogar_1";2022;"Febrero";206.0;"Casa";"Eléctrica";182.0;"Bilbao";"País Vasco";142;3;"Bueno";"Sí";0.298;"Electrodomésticos";"Verano";"Tarifa variable";325.0;"Propiedad";13;12.0;1;1;1;1
"Hogar_2";2021;"Julio";199.0;"Casa";"Gas";87.0;"Sevilla";"Andalucía";91;3;"Deficiente";"No";0.298;"Calefacción eléctrica";"Verano";"Tarifa fija";358.0;"Alquiler";5;13.0;2;2;1;2
"Hogar_3";2021;"Febrero";219.0;"Apartamento";"Eléctrica";65.0;"Palma";"Islas Baleares";132;3;"Deficiente";"No";0.297;"Calefacción eléctrica";"Invierno";"Tarifa fija";310.0;"Alquiler";16;16.0;3;3;2;1
"Hogar_4";2021;"Julio";194.0;"Apartamento";"Eléctrica";197.0;"Sevilla";"Andalucía";54;5;"Deficiente";"No";0.289;"Calefacción eléctrica";"Invierno";"Tarifa fija";367.0;"Alquiler";11;15.0;2;2;2;1
"Hogar_5";2022;"Septiembre";408.0;"Apartamento";"Eléctrica";186.0;"Sevilla";"Andalucía";146;2;"Deficiente";"Sí";0.253;"Aire acondicionado";"Verano";"Tarifa variable";247.0;"Alquiler";5;21.0;2;2;2;1
"Hogar_6";2022;"Noviembre";483.0;"Apartamento";"Gas";121.0;"Valencia";"Comunidad Valenciana";111;5;"Regular";"No";0.298;"Electrodomésticos";"Otoño";"Tarifa fija";250.0;"Alquiler";13;16.0;4;4;2;2
"Hogar_7";2022;"Abril";128.0;"Apartamento";"Gas";74.0;"Valencia";"Comunidad Valenciana";100;2;"Deficiente";"No";0.233;"Calefacción eléctrica";"Invierno";"Tarifa variable";242.0;"Propiedad";11;12.0;4;4;2;2
"Hogar_8";2022;"Septiembre";197.0;"Casa";"Eléctrica";145.0;"Murcia";"Región de Murcia";60;3;"Regular";"No";0.168;"Aire acondicionado";"Otoño";"Tarifa variable";297.0;"Propiedad";19;14.0;5;5;1;1
"Hogar_9";2022;"Junio";471.0;"Apartamento";"Gas";57.0;"Palma";"Islas Baleares";142;3;"Regular";"Sí";0.243;"Electrodomésticos";"Primavera";"Tarifa fija";382.0;"Alquiler";3;17.0;3;3;2;2
"Hogar_10";2022;"Julio";377.0;"Apartamento";"Eléctrica";179.0;"Las Palmas";"Canarias";122;5;"Regular";"No";0.213;"Aire acondicionado";"Otoño";"Tarifa fija";376.0;"Propiedad";15;12.0;6;6;2;1
"Hogar_11";2022;"Mayo";255.0;"Apartamento";"Gas";122.0;"Málaga";"Andalucía";126;5;"Bueno";"Sí";0.232;"Electrodomésticos";"Verano";"Tarifa variable";323.0;"Propiedad";7;19.0;7;2;2;2
"Hogar_12";2021;"Junio";398.0;"Casa";"Eléctrica";115.0;"Palma";"Islas Baleares";114;2;"Regular";"No";0.225;"Aire acondicionado";"Primavera";"Tarifa variable";279.0;"Propiedad";7;18.0;3;3;1;1
"Hogar_13";2022;"Abril";399.0;"Apartamento";"Eléctrica";150.0;"Madrid";"Comunidad de Madrid";114;4;"Regular";"Sí";0.126;"Electrodomésticos";"Invierno";"Tarifa variable";384.0;"Alquiler";6;20.0;8;7;2;1
"Hogar_14";2021;"Julio";234.0;"Casa";"Gas";149.0;"Bilbao";"País Vasco";127;2;"Bueno";"Sí";0.255;"Electrodomésticos";"Invierno";"Tarifa variable";310.0;"Alquiler";3;24.0;1;1;1;2
